CASRN	Uterotrophic LEL	PhysChem Properties fu	PhysChem Properties MW, Molecular Weight	PhysChem Properties CLint	PhysChem Properties MP	PhysChem Properties pKa_ionization	PhysChem Properties LogD, pH 7.4
521-18-6	73.39999999999999	0.265372467614529	290.224580200001	1.44926410856833	172.515748934256	1.0	3.5689681054718
104-43-8	39.90699775666667	0.378273068600122	262.22966558	1.04807557618535	62.2840197222336	1.0	7.96230373216032
115-32-2	NA	0.0153694668896041	367.909603308	0.537863652075983	75.7196782359922	1.0	5.35982245965241
3785-34-0	NA	0.513723038624646	301.878932936	0.594838220202966	12.5398083784008	0.0	0.833846690554232
122-14-5	NA	0.00708966137315133	277.017380114	1.01588706619314	10.0175766409474	1.0	3.31810512606153
5392-40-5	NA	0.0519529768965686	152.120115132	1.37093605831141	12.2909350606433	0.0	3.07272548910912
103-90-2	NA	0.883210971043353	151.063328528	0.259351341862811	162.057250347318	1.0	0.540602981147218
85-60-9	NA	0.00526427335960911	382.287180456001	1.18407446198228	114.382377944114	1.0	7.97109135940654
14371-10-9	NA	0.148919079499868	132.057514876	0.79416708609157	13.4246842430487	0.0	1.85033939196443
474-86-2	2.0	0.0436612634691308	268.14632988	1.34570227482261	240.461700639915	1.0	3.58376257222244
